Area,HUB,Gasoducto,Volumen,Coef_Inyeccion,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,Vol_C1,Vol_C2,Vol_C3,Vol_iC4,Vol_nC4,Vol_iC5,Vol_nC5,Vol_nC6,Vol_nC7,Vol_nC8,Vol_nC9,Vol_nC10,Vol_N2,Vol_CO2,z,densidad,PCS,IW
laangosturasuri,NEUBA I,NEUI,0.0,1.0,0.0,,laangosturasuri,0.7518323333333333,0.13297466666666663,0.071394,0.007239,0.01787533333333333,0.002461000000000001,0.002651,0.0005030666666666666,0.00014373333333333332,7.186666666666666e-05,0.0,0.0,0.009604000000000001,0.0032499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962339510884118,0.745584504375694,11458.96718706134,13270.798013856545
laangosturasurii,NEUBA I,NEUI,0.0,1.0,0.0,,laangosturasurii,0.8371291774281999,0.09450427150726318,0.03968374800682068,0.007354762434959412,0.01014241534471512,0.0017210679699977238,0.0010587518935402235,0.0006131435198088487,0.00026270153000950813,8.240123648041239e-05,0.0,0.0,0.003786024212837219,0.003661534915367762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996916569266359,0.6785837813576644,10604.375953303768,12873.106982399171
lacalera,La Calera,VMS,9032.786256369609,0.8355351009298703,7547.209976393726,,lacalera,0.7866689930462045,0.11830063776903263,0.04813748933887026,0.010461365779162157,0.014601684918848582,0.004825946345645965,0.003913755587110438,0.005916998312951869,0.001690570946557677,0.0008452854732788385,0.0,0.0,0.002677754807489837,0.0019740213470009925,5937.1560724379215,892.8397535841834,363.3037397768682,78.95412417519655,110.20198209169183,36.42243040540007,29.53793521220658,44.65682869781519,12.759093913661484,6.379546956830742,0.0,0.0,20.209577797423556,14.898353603700071,0.9962105254254792,0.7390374016884859,11496.067365850331,13372.60729233018
lacalera,La Calera,YPF - RDM,9032.786256369609,0.16446489907012976,1485.576279975883,,lacalera,0.7866689930462045,0.11830063776903263,0.04813748933887026,0.010461365779162157,0.014601684918848582,0.004825946345645965,0.003913755587110438,0.005916998312951869,0.001690570946557677,0.0008452854732788385,0.0,0.0,0.002677754807489837,0.0019740213470009925,1168.6567962619542,175.74462137569392,71.5119123394176,15.541156857674721,21.69191676312303,7.169311419527939,5.814182465834352,8.790152342378613,2.511472097822461,1.2557360489112306,0.0,0.0,3.978009025598288,2.9325592892707157,0.9962105254254792,0.7390374016884859,11496.067365850331,13372.60729233018
laescalonada,Hub Norte (resto),VMN,182.2770066487767,1.0,182.2770066487767,,laescalonada,0.6930447481549685,0.14822337367427546,0.08512721137971638,0.01201752855059468,0.03104457162573395,0.0080110170290531,0.007009514524544584,0.005006509515527551,0.0010015025045085166,0.0005005005005005005,0.0,0.0,0.005005005005005005,0.004006010018034066,126.32612216734297,27.017712868730023,15.516733274652383,2.1905191315186103,5.658711588632332,1.4602242042681755,1.27767332559511,0.9125715682489793,0.1825508786730654,0.09122973305744579,0.0,0.0,0.9122973305744579,0.7302035146922616,0.9952083061479422,0.8263665245874178,12627.998785106498,13891.468979627778
lariberabloquei,EM / RDM,YPF - RDM,593.1596774193548,1.0,593.1596774193548,,lariberabloquei,0.813,0.116,0.04218802581879268,0.00992864059922961,0.01010289083270554,0.002316136959433506,0.0017827523773971108,0.00021000000000000004,6e-05,3e-05,0.0,0.0,0.0028000000000000004,0.0015815534124415773,482.2388177419354,68.80652258064517,25.024235785634477,5.889269255051745,5.992627467330575,1.3738390517166237,1.0574568250954581,0.12456353225806453,0.03558958064516129,0.017794790322580644,0.0,0.0,1.6608470967741937,0.9381137119453258,0.9967400587428911,0.6936664790285056,10875.84379185078,13058.329028332519
lariberabloqueii,EM / RDM,Otros,0.0,1.0,0.0,,lariberabloqueii,0.8371291774281999,0.09450427150726318,0.03968374800682068,0.007354762434959412,0.01014241534471512,0.0017210679699977238,0.0010587518935402235,0.0006131435198088487,0.00026270153000950813,8.240123648041239e-05,0.0,0.0,0.003786024212837219,0.003661534915367762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996916569266359,0.6785837813576644,10604.375953303768,12873.106982399171
lasmanadas,Otros,MEGA,0.0,1.0,0.0,,lasmanadas,0.8371291774281999,0.09450427150726318,0.03968374800682068,0.007354762434959412,0.01014241534471512,0.0017210679699977238,0.0010587518935402235,0.0006131435198088487,0.00026270153000950813,8.240123648041239e-05,0.0,0.0,0.003786024212837219,0.003661534915367762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996916569266359,0.6785837813576644,10604.375953303768,12873.106982399171
lastacanas,EM / RDM,MEGA,77.10990826108022,1.0,77.10990826108022,,lastacanas,0.8371291774281999,0.09450427150726318,0.03968374800682068,0.007354762434959412,0.01014241534471512,0.0017210679699977238,0.0010587518935402235,0.0006131435198088487,0.00026270153000950813,8.240123648041239e-05,0.0,0.0,0.003786024212837219,0.003661534915367762,64.55095407416205,7.287215706205281,3.0600101682617677,0.5671250566417593,0.7820807167767552,0.13271139327760806,0.08164026138213161,0.04727944056333614,0.020256890879078584,0.006353951785604176,0.0,0.0,0.2919399797261064,0.28234062141875027,0.996916569266359,0.6785837813576644,10604.375953303768,12873.106982399171
linderoatravesado,NEUBA I,NEUI,1021.3174193548388,1.0,1021.3174193548388,,linderoatravesado,0.9052269382450544,0.046563305684183286,0.01995919993893551,0.00259160140986178,0.005212901696388644,0.0010320857432782888,0.0011372423132726803,0.0004170356773110912,0.00011915305066031179,5.9576525330155895e-05,0.0,0.0,0.005906566019684981,0.0117743936960387,924.524040498921,47.55591519800057,20.38467857402087,2.646847663916395,5.3240273079061105,1.0540871478779026,1.1614853845727808,0.42592580173026096,0.12169308620864601,0.060846543104323005,0.0,0.0,6.032478764473647,12.025393384106128,0.9974757433849507,0.6282334346185,9690.46754780699,12225.994851418915
