Area,Inyección,Gasoducto,Volumen,Coef_Inyeccion,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,Vol_C1,Vol_C2,Vol_C3,Vol_iC4,Vol_nC4,Vol_iC5,Vol_nC5,Vol_nC6,Vol_nC7,Vol_nC8,Vol_nC9,Vol_nC10,Vol_N2,Vol_CO2,z,densidad,PCS,IW
neuii,Cuaternaria,NEUII,-6345.833924316936,0.9334628799577999,-5923.600410726794,,neuii,0.910884491928952,0.05453439558887475,0.011255444063604767,0.0023845558656504407,0.0020160584344901186,0.0005674059177784763,0.00036776220965566706,0.00041657824157772334,0.0002492695055995244,1.9360117911793477e-06,0.0,0.0,0.002869527819037627,0.01445257441298749,-5395.715750515007,-323.0399681089959,-66.67275307808166,-14.125156105167935,-11.942324570594883,-3.3610859276013954,-2.1784763761661026,-2.4676430429096476,-1.4765729457510077,-0.011468160241401898,-0.0,-0.0,-16.997936167443246,-85.61127572883225,0.9975650565708556,0.6177588699591595,9530.745826498367,12125.995219067685
totalapeasr,Secundaria,GPM,1500.0,0.0,0.0,,totalapeasr,0.8471228666485022,0.08727450136890949,0.03170048910270905,0.00636920752263158,0.006623661614575679,0.0014596254832154392,0.0010404562114689577,0.0011318941332600562,0.00039037276009400086,0.00013260041175591555,0.0,0.0,0.004391507394390486,0.012362817348487331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970543936368628,0.6705968425955278,10288.935414955044,12564.340253375645
tty,Terciaria,GPM,-11942.910949049532,0.32917236697562663,-3931.276265677762,,tty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0
gpm,Cuaternaria,GPM,-29483.160949049532,1.0,-29483.160949049532,,gpm,0.8392277316820428,0.09457888692444966,0.039703968461494724,0.007358375681844552,0.010147224194106769,0.0009158078746919398,0.00047071598944213984,0.00011333785735847123,1.628531404181358e-05,1.1570199685508034e-06,0.0,0.0,0.003791179655225277,0.0036753293453331923,-24743.086286087422,-2788.4845455755053,-1170.5984924662355,-216.948174551395,-299.1722441009393,-27.000910967949448,-13.87819527801371,-3.341558290120225,-0.48014253500060616,-0.03411260595404757,-0.0,-0.0,-111.77595996176895,-108.36032662922337,0.9969701546085075,0.6737156404981035,10536.819667210839,12837.227343441189
ypfrdm,Secundaria,BdP,2800.0000000000005,0.1814891411654456,508.16959526324774,,ypfrdm,0.8612995019404287,0.07550719829153414,0.03464118891858483,0.005234526404562136,0.00888434459282575,0.0014635618440942064,0.0012364232177646398,0.0010882630492937916,0.00033572964482163575,0.0002138701344049436,0.0,0.0,0.004790554091940934,0.005304837869744237,437.68621930150454,38.3704623952707,17.603598952194954,2.660027164401124,4.514753795915484,0.7437376299560854,0.6283126861455395,0.5530221932995739,0.17060759772688455,0.10868229963945658,0.0,0.0,2.4344139339883197,2.6957573132050783,0.9970884387127541,0.6630858623439664,10336.689294882086,12693.943998898634
neuii,Cuaternaria,BdP,1499.0,0.025476429599756864,38.18916797003554,,neuii,0.910884491928952,0.05453439558887475,0.011255444063604767,0.0023845558656504407,0.0020160584344901186,0.0005674059177784763,0.00036776220965566706,0.00041657824157772334,0.0002492695055995244,1.9360117911793477e-06,0.0,0.0,0.002869527819037627,0.01445257441298749,34.785920863575235,2.082623193287903,0.42983604392234187,0.09106420448725819,0.07699159419215003,0.021668759901234406,0.014044532797571696,0.01590877644027372,0.009519395019147952,7.393467948531749e-05,0.0,0.0,0.10958487987591768,0.5519317918570171,0.9975650565708556,0.6177588699591595,9530.745826498367,12125.995219067685
bdp,Cuaternaria,BdP,3401.0000000000005,1.0,3401.0000000000005,,bdp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vmliq,Terciaria,TTY-PC,71.78448422373485,1.0,71.78448422373485,,vmliq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ttypc,Cuaternaria,TTY-PC,71.78448422373485,1.0,71.78448422373485,,ttypc,0.8625300954807639,0.12970876098120962,0.0021111818893424414,0.00022940380017825274,0.0003201954773497672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002935979592680638,0.0021643827784754545,61.916278031535406,9.311076506335837,0.15155010302893723,0.016467633474760605,0.02298506719232561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21075778075199073,0.15536910141559468,0.9974146269322589,0.624435008817267,9903.538446577535,12532.761355006669
gpaachile,Secundaria,Otros,300.0,1.0,300.0,,gpaachile,0.9133566065255345,0.053151658361513296,0.010461448903549003,0.0022400690999213866,0.0018004483838889721,0.0005334827906296572,0.00034706898634138055,0.00040712623132412555,0.0002460207044164147,0.0,0.0,0.0,0.002836793273655873,0.01461927673922557,274.00698195766034,15.94549750845399,3.138434671064701,0.6720207299764159,0.5401345151666916,0.16004483718889714,0.10412069590241417,0.12213786939723767,0.0738062113249244,0.0,0.0,0.0,0.8510379820967618,4.385783021767671,0.9975838408179317,0.6157834697552683,9500.043412167795,12106.304040180079
tbxelporton,Secundaria,Otros,0.30000000000000004,0.08096727414450963,0.024290182243352894,,tbxelporton,0.8577658494993415,0.11162277457197944,0.0016262762377689992,0.00015257774158933143,0.0004281343165891945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013849321745024939,0.014555065887706789,0.020835288806463417,0.002711337536862078,3.950254619344329e-05,3.7061411494840646e-06,1.039946057458488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003364025491334859,0.00035354520297640687,0.9974964106138,0.631693162937653,9563.610323135179,12032.857787440884
otros,Cuaternaria,Otros,9278.155391642198,1.0,9278.155391642198,,otros,0.8371269064877237,0.09450410029965056,0.0396865543853974,0.007355289110858608,0.010143138587159543,0.0017211920377924424,0.001058828216506472,0.0006131877199018577,0.00026272046755297857,8.240717659426636e-05,0.0,0.0,0.003785106142841992,0.0036605693680202885,7766.9935209178275,876.823727727498,368.2180185465762,68.24351532099995,94.10961597062834,15.969487185495572,9.823972725802415,5.689250949496207,2.4375613225214274,0.7645865898281032,0.0,0.0,35.11880296714743,33.96333141837771,0.9969165186891066,0.6785875368714425,10604.463167222615,12873.177232892956
